,CV,TFIDF,W2V,GLOVE,FAST
SVM,0.6046114432109309,0.6038421599169262,0.6276463262764632,0.5611721611721612,0.6177806619078521
MLP,0.5984985762360859,0.5873278236914601,0.6155234657039712,0.5752485430236545,0.6276689090377302
KNN,0.4852993269571378,0.11357340720221606,0.5858164481525626,0.5372445616348055,0.566645202833226
RF,0.5864811133200795,0.586639879457559,0.5989672977624785,0.558888076079005,0.5972269191748393
EXTRA,0.5912533593940875,0.5931823836775317,0.594798083504449,0.5654870485224371,0.5962521294718909
CNN,0.5821792526783381,0.5593681917211328,0.6047100531780197,0.5694716242661448,0.6086290528465662
LR,0.607941099132264,0.5966451612903226,0.6170622193713919,0.5038639876352395,0.5897264843228819
NB,0.6011388957662788,0.603802672147996,0.5284178187403994,0.49983338887037665,0.5388698095535435
